Term,Definition,Source
filter link,An association between a filter control and a parameter. This association is,https://damanhour.edu.eg/
filter section,Area below the nav bar where users define and edit filters.,https://damanhour.edu.eg/
Filter Web Part,A feature that enables users to modify dashboard views by,https://damanhour.edu.eg/
filtered access token,An access token with the least administrative privileges,https://damanhour.edu.eg/
filtered group,A local security group that is removed from an access token. When,https://damanhour.edu.eg/
filtered HTML,An HTML format with Microsoft Office-specific tags removed.,https://damanhour.edu.eg/
filtered view,A view to which a set of conditions have been applied to reduce the,https://damanhour.edu.eg/
FilterKeys,A Windows 9x accessibility control panel feature that enables users with,https://damanhour.edu.eg/
final assembly,Final end-item product assembly before customer fulfillment.,https://damanhour.edu.eg/
final state,"In a statechart or activity diagram, a representation of the completion of",https://damanhour.edu.eg/
finalizer,A method that frees resources and performs other cleanup operations.,https://damanhour.edu.eg/
Finance,An app category that facilitates management of personal finances.,https://damanhour.edu.eg/
Finance and Accounting System Implementation,A template that outlines the steps,https://damanhour.edu.eg/
financial dimension,"A financial data classifier created from the parties, locations,",https://damanhour.edu.eg/
"products, and activities in an organization and used for management reporting.financial dimension value",A data element in the domain of a financial dimension.,https://damanhour.edu.eg/
financial dimension value constraint,A hierarchical financial dimension,https://damanhour.edu.eg/
financial information,A tab on a record that lists the Account or Business Contact’s,https://damanhour.edu.eg/
Financial Integration,A feature that enables the user to access information from an,https://damanhour.edu.eg/
Financial Modernization Act of 1999,A U.S. law containing financial provisions,https://damanhour.edu.eg/
Financial Reporting Instance Standard,A standard that places additional,https://damanhour.edu.eg/
Financial Reporting Taxonomy Architecture,A standard that places additional,https://damanhour.edu.eg/
financial statement,A statement of a company’s financial state as of the end of a,https://damanhour.edu.eg/
financial template document,An XML schema that contains all the necessary,https://damanhour.edu.eg/
find,To seek specific data within a file or data structure.,https://damanhour.edu.eg/
Find,A field in the main Communicator window where a user can search for a person,https://damanhour.edu.eg/
Find Message view,A reporting view that enables users to find messages based on,https://damanhour.edu.eg/
Find My Phone,"A feature that lets you ring, lock, erase, or show your Windows",https://damanhour.edu.eg/
Find similar picture or video,A feature that searches the Library to find and group,https://damanhour.edu.eg/
"pictures and videos with similar color, tone, and intensity.fine tune",To manually edit and make adjustments to your photos.,https://damanhour.edu.eg/
fine tuning setting,A setting that shifts all inserted images by the same amount to,https://damanhour.edu.eg/
fine-grained lock,A lock that applies to a small amount of code or data.,https://damanhour.edu.eg/
Fine-Grained Permissions,A security feature that allows for greater granularity and,https://damanhour.edu.eg/
finger,"An Internet utility, originally limited to UNIX but now available on many",https://damanhour.edu.eg/
Finger,A program that you point at the username of someone on a networked system. It,https://damanhour.edu.eg/
finger input,A specific type of touch input in which fingertips only are used to touch,https://damanhour.edu.eg/
fingerprint reader,An authentication device that digitally scans an individual’s,https://damanhour.edu.eg/
Finish,A navigation button used to complete and close a wizard.,https://damanhour.edu.eg/
finish date,The date that a project or task is scheduled to be completed. This date is,https://damanhour.edu.eg/
finished good,An item assembled for sale using a bill of materials.,https://damanhour.edu.eg/
finished unit,A Surface developer unit that has acrylic panels on all sides. You have,https://damanhour.edu.eg/
finite capacity,"The capability of a resource (worker, machine, work center, plant, or",https://damanhour.edu.eg/
finite loading,A scheduling method that assumes that limited capacity for labor and,https://damanhour.edu.eg/
finite material,A method for scheduling resources that assumes that all the,https://damanhour.edu.eg/
finite property,A method for scheduling resources that considers limits to the type of,https://damanhour.edu.eg/
finite scheduling,A scheduling method that assumes that limited capacity for laborand machines is available.,https://damanhour.edu.eg/
FIPS,"A system of standards, guidelines, and technical methods for information",https://damanhour.edu.eg/
Fire- Fighting,Desperately working to fix bugs to avoid being fired.,https://damanhour.edu.eg/
Firefox,"A popular alternative- browser, available free from- Mozilla, which you can use",https://damanhour.edu.eg/
firewall,A security solution that segregates one portion of a network from another,https://damanhour.edu.eg/
Firewall,"Originally a dedicated computer between you and the internet, preventing",https://damanhour.edu.eg/
firewall rule,A rule permitting or blocking communication through Windows,https://damanhour.edu.eg/
firewall traversal,A technology that provides secure pathways through a firewall and,https://damanhour.edu.eg/
Firewire,"A standard for very fast data transfer, created by- Apple, popular for",https://damanhour.edu.eg/
firewire,technology that allows a computer to have an almost unlimited number of,https://damanhour.edu.eg/
firm planned order,An order that is generated to fulfill an item requirement and that,https://damanhour.edu.eg/
firmware,The software that is embedded in a hardware device and controls how the,https://damanhour.edu.eg/
Firmware,A computer program or software stored permanently in PROM or ROM or,https://damanhour.edu.eg/
firmware system binary,A feature that enables partners to place a system binary,https://damanhour.edu.eg/
first boot,A phase of Windows Setup that starts the first time an end user boots,https://damanhour.edu.eg/
First Expiry First Out,A method used for determining the order in which goods,https://damanhour.edu.eg/
"first in, first out",A method for processing a queue in which items in the queue areremoved in the same order in which they were added.,https://damanhour.edu.eg/
"first in, first out inventory valuation method",A method of inventory valuation in,https://damanhour.edu.eg/
first match,A matching criteria used in regular expressions that chooses the,https://damanhour.edu.eg/
First Name,"In the Add a Contact Wizard, one of the fields by which you can search",https://damanhour.edu.eg/
first name,The given name for an individual.,https://damanhour.edu.eg/
fiscal period,A division of a fiscal year that is reflected on financial statements.,https://damanhour.edu.eg/
fiscal printer,A printer with security features for tax authorities to confirm the taxes,https://damanhour.edu.eg/
fiscal year,A span of time during which the financial activities of an organization are,https://damanhour.edu.eg/
fishbone diagram,A type of diagram that documents all the factors that contribute to,https://damanhour.edu.eg/
fit,One of the criteria used for evaluating the success of a data mining algorithm. Fit,https://damanhour.edu.eg/
five 9s,The five 9s of accuracy: 99.999% accuracy,https://damanhour.edu.eg/
fix,A single cumulative package composed of one or more files used to address a,https://damanhour.edu.eg/
Fix it button,A UI element that allows the user to have an automated step through a,https://damanhour.edu.eg/
Fix pane,An area in Windows Photo Gallery that includes an assortment of picture,https://damanhour.edu.eg/
fixed amount off,The exact amount subtracted from the list price to arrive at a,https://damanhour.edu.eg/
fixed asset,An accounting classifier used to classify any long-term asset whose cost,https://damanhour.edu.eg/
fixed asset addition,An add-on item to a fixed asset that is considered part of the,https://damanhour.edu.eg/
fixed asset group,"A set of characteristics that are assigned to a fixed asset. The fixedasset inherits the characteristics (such as type, number sequences, and default value",https://damanhour.edu.eg/
fixed compensation,"Compensation, independent of performance, that is awarded to",https://damanhour.edu.eg/
fixed compensation plan,A compensation structure that is used to determine fixed,https://damanhour.edu.eg/
fixed cost,A cost that does not vary with changes in product delivery throughput or,https://damanhour.edu.eg/
fixed currency,A currency that has a fixed exchange rate in relation to another,https://damanhour.edu.eg/
fixed database role,A predefined role that exists in each database. The scope of the,https://damanhour.edu.eg/
fixed date,A date to which a task is tied either because the date was entered in the,https://damanhour.edu.eg/
fixed dialing,A feature that allows a user to restrict the device to dial only the,https://damanhour.edu.eg/
Fixed Dialing Number,A mode that restricts outgoing calls to a fixed set of,https://damanhour.edu.eg/
fixed distribution allocation method,A method for calculating allocations based on,https://damanhour.edu.eg/
fixed document,One instance of an XPS document in an XPF document package. A,https://damanhour.edu.eg/
fixed exchange rate,An exchange rate that pegs one currency’s value to another,https://damanhour.edu.eg/
fixed file location,"The full or absolute address of a file - for example,",https://damanhour.edu.eg/
fixed grid,Grid lines on the drawing page that stay the same distance apart when you,https://damanhour.edu.eg/
fixed layout,"A layout that does not change as the screen size, aspect ratio, app size,",https://damanhour.edu.eg/
fixed location,A permanent location that is assigned to an item in a warehouse.,https://damanhour.edu.eg/
fixed markup,The exact amount added to the list price to arrive at a custom price.,https://damanhour.edu.eg/
fixed material consumption,Absolute quantity of a material resource to be used to,https://damanhour.edu.eg/
fixed page,"A page in an XPS fixed document. A fixed page has the extension .fpage,",https://damanhour.edu.eg/
"layout information, and references to images, fonts, and other custom resources.fixed percentage allocation method",A method for calculating allocations based on a,https://damanhour.edu.eg/
fixed positioning,"Placement of an element relative to either the element’s parent or,",https://damanhour.edu.eg/
fixed quantity kanban,A type of kanban that is used when the number of kanbans,https://damanhour.edu.eg/
fixed rate,The multiplier used for converting the base currency of the Web site to the,https://damanhour.edu.eg/
fixed server role,A predefined role that exists at the server level. The scope of the,https://damanhour.edu.eg/
fixed value,A user-entered value or value from a static source that does not change,https://damanhour.edu.eg/
fixed version,A file version that prohibits the viewer from making edits.,https://damanhour.edu.eg/
fixed weight allocation method,A method for calculating allocations by using,https://damanhour.edu.eg/
fixed-duration task,A task in which the duration is a fixed value and any changes to,https://damanhour.edu.eg/
fixed-length,Pertaining to anything whose size is predetermined and constant.,https://damanhour.edu.eg/
fixed-price project,A type of project in which the customer pays a predetermined,https://damanhour.edu.eg/
fixed-price project estimate,The estimated total cost to complete a fixed-price,https://damanhour.edu.eg/
fixed-rate agreement,An exchange rate that is frozen for the entire project period.,https://damanhour.edu.eg/
fixed-size virtual hard disk,A virtual hard disk with a fixed size that is determined,https://damanhour.edu.eg/
fixed-width text file,"A file containing data, where each field has a fixed width.",https://damanhour.edu.eg/
flag,"Broadly, a marker of some type used by a computer in processing or interpreting",https://damanhour.edu.eg/
flagged,Marked with a flag.,https://damanhour.edu.eg/
Flame,"Internet slang for an email, forum or newsgroup post insulting or telling someone",https://damanhour.edu.eg/
Flamewar,A public trading of insults in a- newsgroup- or forum. Sometimes flamewars,https://damanhour.edu.eg/
Flash,"A Macromedia development environment containing video, multimedia, and",https://damanhour.edu.eg/
"learning courses, and enterprise application front-ends.flash",To alternate between calls when there is an active call and a call on hold.,https://damanhour.edu.eg/
flash,Flash memory (FLEXIBLE ARCHITECTURE for SHARED MEMORY):- This,https://damanhour.edu.eg/
flash auto,A flash mode used to set off the flash automatically according to the,https://damanhour.edu.eg/
Flash drive,"A removable data storage device, usually thumb sized and plugged into",https://damanhour.edu.eg/
Flash Fill,A feature that extends AutoComplete functionality to show a live,https://damanhour.edu.eg/
flash memory card,A device used by many digital cameras to store pictures and,https://damanhour.edu.eg/
flash off,A flash mode when the phone’s built-in camera flash is set to off.,https://damanhour.edu.eg/
flash on,A flash mode when the phone’s built-in camera flash is set to on.,https://damanhour.edu.eg/
Flashing,A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
Flashpix,"A multi-resolution, tiled file format for digital images.",https://damanhour.edu.eg/
flat appearance,The recommended visual display of a control when it is nested,https://damanhour.edu.eg/
flat cap,"For paths that contain unconnected ends, the end of the stroke that is left as a",https://damanhour.edu.eg/
flat file,A file consisting of records of a single record type in which there is no,https://damanhour.edu.eg/
flat file format,An image file format in which individual objects cannot be edited.,https://damanhour.edu.eg/
flat list,A result set in which any member hierarchies are ignored and all members are,https://damanhour.edu.eg/
flat namespace,"A namespace that is unstructured and cannot be partitioned, such as",https://damanhour.edu.eg/
flat navigation pattern,The navigation structure recommended to be used for,https://damanhour.edu.eg/
"organized in a hierarchy, i.e., the pages, tabs, and modes are logical peers.flat structure",The navigation structure recommended to be used for Windows Store,https://damanhour.edu.eg/
flat-file logging,The process of creating an event log that is written to a UTF-8,https://damanhour.edu.eg/
flatrate,pricing plan for Telco,https://damanhour.edu.eg/
flatten,"In digital graphic creation and manipulation programs, to combine all layers",https://damanhour.edu.eg/
flattened interface,An interface created to combine members of multiple interfaces.,https://damanhour.edu.eg/
flattened rowset,A multidimensional data set presented as a two-dimensional rowset,https://damanhour.edu.eg/
flexbox,A control that- allows designers and developers to position and align child,https://damanhour.edu.eg/
FlexGo,The technology and business model behind a Microsoft licensing program,https://damanhour.edu.eg/
FlexGo Management Portal,A Web site used by customer service representatives,https://damanhour.edu.eg/
FlexGo technology,The technology and business model behind a Microsoft,https://damanhour.edu.eg/
flexible authentication,An authentication process where users in a variety of identity,https://damanhour.edu.eg/
flexible constraint,A constraint that does not tie a task to a single date. Flexible,https://damanhour.edu.eg/
flexible ID,"An identifier that is assigned to various synchronization entities, such as",https://damanhour.edu.eg/
flexible identifier,"An identifier that is assigned to various synchronization entities,",https://damanhour.edu.eg/
flick,"A quick, straight stroke of a finger or pen on a screen. A flick is recognized as a",https://damanhour.edu.eg/
flicker,"Rapid, visible fluctuation in a screen image, as on a television or computer",https://damanhour.edu.eg/
flicks set,A collection of gestures you can make with a tablet pen to quickly navigate,https://damanhour.edu.eg/
Flight Search,A feature that allows a user to search for flights on airlines.,https://damanhour.edu.eg/
Flight Status,A feature that allows a user to check the status of a given airline,https://damanhour.edu.eg/
flip,"To change the orientation of a selected object horizontally, vertically, or in both",https://damanhour.edu.eg/
flip ahead,To go to the next page on a site quickly by swiping across the page or,https://damanhour.edu.eg/
flip bar,The list of documents that are currently open displayed in the order which,https://damanhour.edu.eg/
flip chip packaging,A packaging technique that connects die bond pads to a package,https://damanhour.edu.eg/
FlipView,The control for Windows Store apps that enables users to flip through,https://damanhour.edu.eg/
float,A data type that holds floating-point number data from -1.79E + 308 through,https://damanhour.edu.eg/
floating,Able to move freely as its own window. A floating window is always on,https://damanhour.edu.eg/
floating column chart,A stacked column chart that creates the effect of floating,https://damanhour.edu.eg/
floating object,A graphic or other object that is inserted in the drawing layer so that,https://damanhour.edu.eg/
floating point,A number represented by a mantissa and an exponent according to a,https://damanhour.edu.eg/
floating toolbar,A toolbar that is not attached to the edge of the program window.You can change the shape of some floating toolbars.,https://damanhour.edu.eg/
floating version rights,The categories of software licenses that are available for,https://damanhour.edu.eg/
floating-point number,A number represented by a mantissa and an exponent,https://damanhour.edu.eg/
floating-point unit,A circuit that performs floating-point calculations.,https://damanhour.edu.eg/
flood attack,A denial-of-service attack in which a server is flooded’ with requests,https://damanhour.edu.eg/
Flood Mitigation,A feature in the General Configuration Settings that enables the,https://damanhour.edu.eg/
flooding,"An attack that attempts to cause a failure in (especially, in the security of) a",https://damanhour.edu.eg/
Floor Is Stock-Out Threshold,A site-level setting that overrides the Stock-Out,https://damanhour.edu.eg/
floor plan,A drawing that shows the layout of individual rooms or entire floors of a,https://damanhour.edu.eg/
floppy disk,A reusable magnetic storage medium. The floppy disk used today is the,https://damanhour.edu.eg/
Floppy disk,Also known as a- diskette. Now obsolete. Originally called floppy disks,https://damanhour.edu.eg/
floppy disk drive,A hardware device that reads data from and writes data to floppy,https://damanhour.edu.eg/
FLOPS,A measure of the speed at which a computer can perform floating-point,https://damanhour.edu.eg/
flow,Any of the different members of the Flow dimension.,https://damanhour.edu.eg/
flow control,"The management of data transmission between two devices, such as",https://damanhour.edu.eg/
Flow dimension member,Any of the different members of the Flow dimension.,https://damanhour.edu.eg/
flow layout,A way of designing a form in which all elements are positioned one,https://damanhour.edu.eg/
flowchart,"A graphic map that can document procedures, analyze processes, indicate",https://damanhour.edu.eg/
flowchart symbol,An icon that illustrates one of the various flowcharting functions.,https://damanhour.edu.eg/
Fluent,Characterized by design and functional elements introduced in the 2007,https://damanhour.edu.eg/
Fluent user interface,The user interface introduced with the 2007 Microsoft Office,https://damanhour.edu.eg/
fluid application model,"A model that enables secure, cross-domain, integration",https://damanhour.edu.eg/
flush,"Aligned in a certain way on the screen or on paper. Flush left, for example,",https://damanhour.edu.eg/
flushing principle,The method that is used to register item consumption for a BOM,https://damanhour.edu.eg/
"Fly In, Fades",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fly In, Fly Out",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fly In, Left and Right",A credit or title animation in Windows Movie Maker.,https://damanhour.edu.eg/
"Fly In, Top Left",A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
Fly Out,A title animation in Windows Movie Maker.,https://damanhour.edu.eg/
flyer,"A circular or pamphlet for distribution, normally used for advertisements.",https://damanhour.edu.eg/
flyout,"A control to expose lightweight, contextual UI.",https://damanhour.edu.eg/
flyout anchor,A button-like control in the Ribbon that pops up a menu with more,https://damanhour.edu.eg/
flyout control,A control that developers use to create a flyout.,https://damanhour.edu.eg/
flyweight patching,A process that reduces the time that is required to apply updates,https://damanhour.edu.eg/
FM,A Windows Fabric system service responsible for failure detection and failover,https://damanhour.edu.eg/
FMP,A Web site used by customer service representatives and support personnel to,https://damanhour.edu.eg/
f-number,"In photography, the diameter of the aperture expressed in terms of the focal",https://damanhour.edu.eg/
FOAD,( Off And Die)- Internet slang. Pretty self-explanatory really.FOB (oth)~ A shipping method that establishes the point at which ownership of goods,https://damanhour.edu.eg/
focal length,The distance between the camera’s lens and the image plane.,https://damanhour.edu.eg/
Focus,A feature of Lync Server or Office Communications Server that manages,https://damanhour.edu.eg/
Focus Factory,A feature of Lync Server or Office Communications Server that helps,https://damanhour.edu.eg/
focus of control,"In a sequence diagram, the time period during which an object or",https://damanhour.edu.eg/
focusable,Pertaining to anything (e.g. elements) that can receive focus.,https://damanhour.edu.eg/
Focused Ion Beam,A focused beam of gallium ions that can be used to image the,https://damanhour.edu.eg/
fold count,A value that represents the number of partitions that will be created within,https://damanhour.edu.eg/
folder,A named storage area on a computer or device containing files and other,https://damanhour.edu.eg/
Folder,"An area on a disk for storing- files- in. Folders can also contain other folders,",https://damanhour.edu.eg/
folder hierarchy,"A bounded namespace that uniquely identifies all reports, folders,",https://damanhour.edu.eg/
folder home page,An Internet Web page or intranet page that is associated with an,https://damanhour.edu.eg/
Folder List,A menu option that displays the folders available in your mailbox.,https://damanhour.edu.eg/
Folder Pane,"A pane in the Outlook window that contains folders for each view,",https://damanhour.edu.eg/
folder picker,A UI element that enables users to locate and open folders.,https://damanhour.edu.eg/
Folder Redirection,A Group Policy option that allows you to redirect designated,https://damanhour.edu.eg/
folder tree,A hierarchy of folders in the Exchange store very similar in structure to,https://damanhour.edu.eg/
folder watching,A feature that instructs the application to monitor folders for newly,https://damanhour.edu.eg/
added content.Folders view,The view of a web site that shows how the content of the site is,https://damanhour.edu.eg/
Folk,One of the music genres that appears under Genre classification in Windows,https://damanhour.edu.eg/
Folklore,One of the music genres that appears under Genre classification in,https://damanhour.edu.eg/
Folk-Rock,One of the music genres that appears under Genre classification in,https://damanhour.edu.eg/
follow,"To track content, people or other entities by adding them to a list of things that",https://damanhour.edu.eg/
Follow Up,"A button on the toolbar that opens the Form Assistant pane, where a",https://damanhour.edu.eg/
follow up,"To act on or make further investigations on a contact or lead, on the basis",https://damanhour.edu.eg/
followed hyperlink,A hyperlink on a Web page that a site visitor has activated by,https://damanhour.edu.eg/
follower,A person who subscribes to receive updates of another person’s activities.,https://damanhour.edu.eg/
follow-up activity,An activity created using the Follow Up form in the Form,https://damanhour.edu.eg/
font,"A graphic design applied to a collection of numbers, symbols, and characters. A",https://damanhour.edu.eg/
Font,"Another word for typeface, ie the style of lettering.",https://damanhour.edu.eg/
Font Cache Service,A Win32 service process that optimizes performance of,https://damanhour.edu.eg/
font cartridge,A plug-in unit available for some printers that contains fonts in several,https://damanhour.edu.eg/
Font choices,The option that shows the set of fonts that can be applied to a sway.,https://damanhour.edu.eg/
font embedding,The act of inserting font information into the publication or the,https://damanhour.edu.eg/
font family,The set of available fonts representing variations of a single typeface. For,https://damanhour.edu.eg/
font manager,A software program that helps you increase or decrease the sets ofavailable fonts.,https://damanhour.edu.eg/
font previewer,"A tool or feature that allows users to see different fonts, typography",https://damanhour.edu.eg/
font resource,"A graphic design applied to a collection of numbers, symbols, and",https://damanhour.edu.eg/
font resource file,A file that contains information about a font.,https://damanhour.edu.eg/
font scheme,A pre-designed combination of fonts that work well together.,https://damanhour.edu.eg/
font size,The point size of a set of characters in a particular typeface.,https://damanhour.edu.eg/
font style,"The stylistic attributes of a font -€” such as bold, italic, and underline.",https://damanhour.edu.eg/
font subsetting,"Embedding a limited number of characters specific to one font,",https://damanhour.edu.eg/
font substitution,A substitution that occurs when Windows or your printer uses a,https://damanhour.edu.eg/
font weight,An indication of the amount of vertical thickness in the characters of a,https://damanhour.edu.eg/
Food & Dining,A list of restaurants and bars in a specific neighborhood.,https://damanhour.edu.eg/
Food & Drink,"An application that provides recipes and tools for meal-planning,",https://damanhour.edu.eg/
Food and Drug Administration,A U.S. governmental agency that is responsible for,https://damanhour.edu.eg/
foot,To total amounts vertically. The resulting sum can be checked against a total,https://damanhour.edu.eg/
footer,One or more lines of text in the bottom margin area of a page. A footer may,https://damanhour.edu.eg/
force feedback,A technology that generates push or resistance in an input/output,https://damanhour.edu.eg/
Force Removal,A link that allows the user to trigger removal of a database from a,https://damanhour.edu.eg/
forced expiratory volume,The volume of air coming out of the lung under forced,https://damanhour.edu.eg/
forced failover,"For an availability group, a form of failover (with possible data loss)",https://damanhour.edu.eg/
forced inspiratory flow,The speed of air coming into the lung under forced,https://damanhour.edu.eg/
forced manual failover,"For an availability group, a form of failover (with possible",https://damanhour.edu.eg/
forced quorum,The process to start a WSFC cluster even though only a minority of,https://damanhour.edu.eg/
forced rename state,The state that a Windows Live ID takes when the user account,https://damanhour.edu.eg/
forced service,"In a database mirroring session, a failover initiated by the database",https://damanhour.edu.eg/
forced vital capacity,The volume of air that can forcibly be blown out after full,https://damanhour.edu.eg/
forecast,"A prediction of future events, such as income, sales, or weather.",https://damanhour.edu.eg/
forecast dimension,A dimension that is used to characterize the level of detail for,https://damanhour.edu.eg/
forecast plan,"A long-range plan for estimating capacity, quantities of finished goods",https://damanhour.edu.eg/
forecasting,A planning tool that helps management in its attempts to cope with the,https://damanhour.edu.eg/
foreground,"The brush color of displayed characters and graphics, for example, the",https://damanhour.edu.eg/
foreground color,The color that is currently selected for drawing or displaying text,https://damanhour.edu.eg/
foreground page,The top page of a drawing.,https://damanhour.edu.eg/
foreground program,The program that runs in the active window (the uppermost,https://damanhour.edu.eg/
foreign address,Any address type that the MS Mail postoffice does not have a,https://damanhour.edu.eg/
foreign computer,"A computer that uses another message queuing system but,",https://damanhour.edu.eg/
Foreign connector,An Exchange Server 2007 connector that uses a Drop directory,https://damanhour.edu.eg/
foreign currency,Any form of money in public circulation that is not your base,https://damanhour.edu.eg/
currency.foreign currency revaluation,A procedure for recording revalued assets and,https://damanhour.edu.eg/
foreign currency translation,The process of restating foreign currency accounts of,https://damanhour.edu.eg/
foreign currency unit,A currency unit of a country/region that is not the functional,https://damanhour.edu.eg/
foreign key,A key in a database table that comes from another table (also know as,https://damanhour.edu.eg/
foreign key association,An association between entities that is managed through,https://damanhour.edu.eg/
Foreign Principal Group,A type of group within a forest (B) that enables that group,https://damanhour.edu.eg/
foreign table,A table that contains a foreign key.,https://damanhour.edu.eg/
foreign-address,"A deprecated function in List Processor (Lisp), specifying the",https://damanhour.edu.eg/
foreseeable loss,An expected loss on a project that is treated as an expense,https://damanhour.edu.eg/
forest,One or more Active Directory domains that share the same class and attribute,https://damanhour.edu.eg/
forest configuration,A configuration object used to model Active Directory forests.,https://damanhour.edu.eg/
forest root domain,The first domain created in a new forest. The forest-wide,https://damanhour.edu.eg/
forest trust,A trust between two Windows Server 2003 forests that forms trust,https://damanhour.edu.eg/
fork,A stream of data that can be opened and accessed individually under a common,https://damanhour.edu.eg/
form,"In some applications (especially databases), a structured window, box, or other",https://damanhour.edu.eg/
form area,The area of the InfoPath workspace that displays the form you are,https://damanhour.edu.eg/
form assignment,"Assignment of responsibility, by a contributor, to submit data,",https://damanhour.edu.eg/
form control,"On a Web site, an individual box or button with which you enter",https://damanhour.edu.eg/
form definition file,An XML file with an .xsf extension that contains information,https://damanhour.edu.eg/
form editor,The user interface control in Microsoft Dynamics CRM where you can,https://damanhour.edu.eg/
form factor,"The size, shape, and configuration of a piece of computer hardware. The",https://damanhour.edu.eg/
form feed,A printer command that tells a printer to move to the top of the next page.,https://damanhour.edu.eg/
form field,A data-entry field on a page. A site visitor supplies information in a field,https://damanhour.edu.eg/
form files,A collection of files that are used to implement a form. File types can,https://damanhour.edu.eg/
form footer,"Use to display instructions for using a form, command buttons, or",https://damanhour.edu.eg/
form handler,A program on a server that runs when a site visitor submits a form.,https://damanhour.edu.eg/
form header,"Use to display a title for a form, instructions for using it, or command",https://damanhour.edu.eg/
Form view and at the beginning of a printout.form instance,"An instance, or copy, of a PerformancePoint Planning form template",https://damanhour.edu.eg/
form library,A folder in which a collection of forms based on the same template is,https://damanhour.edu.eg/
Form Library URL Repair Tool,A feature that updates absolute URLs in form,https://damanhour.edu.eg/
Form Mode,"The option that lets users choose, be default, what mode they will view",https://damanhour.edu.eg/
form module,A module that includes code for all event procedures triggered by,https://damanhour.edu.eg/
form properties,Attributes of a form that affect its appearance or behavior. For,https://damanhour.edu.eg/
form region,A customizable extension to Microsoft Office Outlook forms.,https://damanhour.edu.eg/
form selector,"The box where the rulers meet, in the upper-left corner of a form in",https://damanhour.edu.eg/
form template,"A file or set of files that defines the data structure, appearance, and",https://damanhour.edu.eg/
form template library,"The location, in the top-level site of a site collection, where",https://damanhour.edu.eg/
Form view,A window that displays a form to either show or accept data. Form view,https://damanhour.edu.eg/
formal agent,"An agent who may be signed in into UC throughout the day, and they",https://damanhour.edu.eg/
format,The overall layout or pattern of a document.,https://damanhour.edu.eg/
format bar,A toolbar within an application used for modifying the format of the,https://damanhour.edu.eg/
format file,A file containing meta information (such as data type and column size),https://damanhour.edu.eg/
Format Object task pane,A task pane that provides functionality for formatting,https://damanhour.edu.eg/
